id,name,rating,address,city,lat,long
29,t4-fremont-8,"3,5",46132 Warm Springs Blvd,Fremont,374.932.967,-121931298099999
33,sharetea-union-city-3,"3,5",34391 Alvarado Niles Rd,Union City,37.587.234,-122022712
36,caface-newark-2,"3,5",6180 Jarvis Ave,Newark,3.754.872,-122049289999999
38,mr-green-bubble-union-city,"3,5",1644 Decoto Rd,Union City,375.895.754.513.833,-122020674874683
41,joy-4-tea-union-city,"3,5",32148 Alvarado Blvd,Union City,375.894.163.879.107,-122067683412499
43,icy-blue-fremont,"3,5",43360 Mission Blvd,Fremont,3.753.259,-12191949
47,tapioca-express-union-city-2,"3,5",1707 Decoto Rd,Union City,37.589.445.484.175,-12202183395763
58,plentea-san-francisco-san-francisco,"3,5",341 Kearny St,San Francisco,377.914.264.423.265,-122404249032891
60,purple-kow-san-francisco-2,"3,5",3620 Balboa St,San Francisco,37.775.906,-122497818
68,tpumps-san-francisco,"3,5",1916 Irving St,San Francisco,377.636.264,-1224785915
73,bubblecup-san-francisco-2,"3,5",1900 Clement St,San Francisco,377.822.781.354.189,-122479696422815
76,i-tea-san-francisco-2,"3,5",2150 Irving St,San Francisco,377.635.307,-1224811325
78,sharetea-san-francisco-3,"3,5",135 4th St,San Francisco,377.844.643.265.332,-122403442928242
79,mi-tea-san-francisco,"3,5",645 Irving St,San Francisco,377.639.596,-122465019
80,bb-tea-station-san-francisco-3,"3,5",1314 Noriega St,San Francisco,377.542.929,-1224779253
81,tea-fm-san-francisco-3,"3,5",1353 Taraval St,San Francisco,377.426.391.197.427,-122480892284656
83,mr-and-mrs-tea-house-san-francisco,"3,5",544 Clement,San Francisco,377.830.442.934.418,-122465241822931
84,e-tea-san-francisco,"3,5",5344 Geary Blvd,San Francisco,377.805.467.694.998,-122476978003979
85,gosu-san-francisco,"3,5",1014 Clement St,San Francisco,377.829,-12247017
87,cuppa-san-francisco,"3,5",2810 Diamond St,San Francisco,3.773.429,-12243417
90,cool-tea-bar-san-francisco-4,"3,5",103 Waverly Pl,San Francisco,37.794.315,-122406927
94,sweethut-san-francisco,"3,5",519 Clement St,San Francisco,377.828.876.674.175,-122464718297124
95,frostea-daly-city-2,"3,5",6178 Mission St,Daly City,3.770.689,-1224588
96,teaone-san-francisco-5,"3,5",5336 Geary Blvd,San Francisco,3.778.076,-12247679
98,honey-creme-and-tea-san-francisco,"3,5",839 Irving St,San Francisco,3.776.384,-12246708
101,mr-green-bubble-oakland,"3,5",4299 Piedmont Ave,Oakland,37.828.969,-122249297
113,sharetea-alameda-4,"3,5",2670 5th St,Alameda,377.867.215,-122281344699999
114,purple-kow-berkeley-2,"3,5",2164 Center St,Berkeley,378.704.335,-122266269299999
115,teaway-alameda,"3,5",2402 Central Ave,Alameda,3.776.394,-12224266
117,sweetheart-cafe-oakland,"3,5",315 9th St,Oakland,377.994.484,-122270096799999
122,50-tea-oakland,"3,5",1004 Webster St,Oakland,378.007.358,-122270182
126,t4-alameda-2,"3,5",1431 A Park St,Alameda,3.776.509,-12224233
127,teazzert-alameda,"3,5",1342 Park St,Alameda,377.635.299.999.999,-122243189999999
134,quickly-oakland-5,"3,5",3306 Lakeshore Ave,Oakland,378.106.217.795.691,-122243926227092
136,shooting-star-cafe-oakland,"3,5",1022 Webster St,Oakland,37.800.992,-1222701305
